23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
01:27:10.612046 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:15.612633 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:20.612535 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:25.614006 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:30.614215 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:35.635235 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:40.622509 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:45.621819 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:50.623211 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:27:55.622969 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:00.623518 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:05.624606 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:10.624774 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:15.625472 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:20.625805 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:25.626109 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:30.627737 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:35.627987 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:40.628388 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:45.628689 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:50.629250 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:28:55.630054 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:00.631271 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:05.630469 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:10.632055 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:15.632212 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:20.633869 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:25.634676 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:30.634558 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:35.635486 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:40.635525 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:45.636456 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:50.637599 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:29:55.643461 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:00.639221 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:05.640191 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:10.641013 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:15.640999 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:20.641187 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:25.641442 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:30.641791 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:35.643216 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:40.643487 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:45.643209 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:50.644188 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:30:55.644057 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:00.645140 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:05.645468 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:10.645381 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:15.645779 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:20.647541 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:25.647996 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:30.648801 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:35.649719 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:40.650144 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:45.650157 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:50.651091 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:31:55.652088 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:00.653240 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
01:32:05.652249 [queue=0] packet #0, 192.168.0.129:64839 -> 192.168.0.129:8080, sz=20 is delivered
